Bio ID,First,Middle,Last,District: Address,District: Phone,District: Fax,Initial 
A000022,Gary,L.,Ackerman,"218-14 Northern Boulevard Bayside, New York 11361",(718) 423-2154, (718) 423-5053 
A000366,Sandy,,Adams,"2461 West SR 426, Suite 1041 Oviedo, Florida 32765",(407) 977-7601,(407) 977-7602 
A000366,Sandy,,Adams,"1000 City Center Cicle Port Orange, Florida 32129",(386) 756-9798,(386) 756-9903 
A000055,Robert,B.,Aderholt,"1710 Alabama Avenue, Carl Elliott Building, #247 Jasper, Alabama 35501", (205) 221-2310, (205) 221-9035 
A000055,Robert,B.,Aderholt,"205 4th Avenue, NE, Suite 104 Cullman, Alabama 35055", (256) 734-6043, (256) 737-0885 
A000055,Robert,B.,Aderholt,"600 Broad Street, 107 Federal Building Gadsden, Alabama 35901", (256) 546-0201, (256) 546-8778 
A000055,Robert,B.,Aderholt,"Morgan County Courthouse, PO Box 668 Decatur, Alabama 35602", (256) 350-4093, (256) 350-5056 
A000069,Daniel,,Akaka,"300 Ala Moana Boulevard, Room 3-106 Honolulu, Hawaii 96850",(808) 522-8970, (808) 545-4683 
A000069,Daniel,,Akaka,"101 Aupuni Street, #213 Hilo, Hawaii 96720",(808) 935-1114, (808) 935-9064 
A000358,W.,Todd,Akin,"301 Sovereign Court, Suite 201 St. Louis, Missouri 63011", (314) 590-0029, (314) 590-0037 
A000358,W.,Todd,Akin,"820 South Main Street, Suite 206 St. Charles, Missouri 63301",(636) 949-6826, (636) 949-3832 
A000361,Rodney,,Alexander,"1412 Center Court, Suite 402 Alexandria, Louisiana 71301",(318) 445-0818,(318) 445-3776 
A000361,Rodney,,Alexander,"1900 Stubbs Avenue, Suite B Monroe, Louisiana 71201",(318) 322-3500,(318) 322-3577 
A000360,	 Lamar,,Alexander	 ,"3322 West End Avenue, Suite 120 Nashville, Tennessee 37203",(615) 736-5129, (615) 269-4803 ,ED
A000360,	 Lamar,,Alexander	 ,"800 Market Street, Suite 112 Knoxville, Tennessee 37902", (865) 545-4253, (865) 545-4252 
A000360,	 Lamar,,Alexander	 ,"167 North Main Street, Suite 1068 Memphis, Tennessee 38103",(901) 544-4224, (901) 544-4227 
A000360,	 Lamar,,Alexander	 ,"900 Georgia Avenue, Suite 260 Chattanooga, Tennessee 37402", (423) 752-5337,(423) 752-5342 
A000360,	 Lamar,,Alexander	 ,"109 South Highland Street, #B-9 Jackson, Tennessee 38301",(731) 423-9344, (731) 423-8918 
A000360,	 Lamar,,Alexander	 ,"2525 Highway 75, PO Box 1113 Blountville, Tennessee 37617",(423) 325-6240, (423) 325-6236 
A000362,Jason,,Altmire,"2110 McLean Street Aliquippa, Pennsylvania 15001",(724) 378-0928,(724) 378-6171
A000362,Jason,,Altmire,"Office: 2124 Freeport Road Natrona Heights, Pennsylvania 15065",(724) 226-1304,(724) 226-1308 
A000367,Justin,,Amash,"110 Michigan Street, Suite 166 Grand Rapids, Michigan 49503",(616) 451-8383,(616) 454-5630 
A000210,Robert,E.,Andrews,"515 Grove Street, 3rd Floor, Suite 3C Haddon Heights, New Jersey 08035",(856) 546-5100,(856) 546-9529 
A000210,Robert,E.,Andrews,"63 North Broad Street Woodbury, New Jersey 08096",(856) 848-3900,(856) 848-9431 
A000365,Steve,,Austria,"5 West North Street, Suite 200 Springfield, Ohio 45504",(937) 325-0474,(937) 325-9188 
A000365,Steve,,Austria,"207 South Broad Street Lancaster, Ohio 43130",(740) 654-5149,(740) 654-7825 
A000368,	 Kelly,,Ayotte	 ,"41 Hooksett Road, Unit 2 Manchester, New Hampshire 03104",(603) 622-7979
